patch_index,log_spectral_distance_db,spectral_convergence,normalized_rms_difference
127,0.00025422527059451393,5.850356428174848e-08,0.0
128,1.144097490961484e-05,4.906911674488941e-08,0.0
129,4.334123657956045e-05,4.9041449074023417e-08,0.0
130,0.00010065253247040991,4.88191743174039e-08,0.0
131,5.284438693464229e-05,4.690974024037101e-08,0.0
132,6.248128895576302e-05,5.1195023504169436e-08,0.0
133,4.372991202907265e-05,3.951287033751639e-08,0.0
134,5.183085375574496e-06,5.0691853353793934e-08,0.0
136,0.00020313315277925258,5.032916301856079e-08,0.0
137,12.661411589257298,1.1079637946268415,1.4042075502825309
138,9.860876430828637e-05,4.571972678275548e-08,0.0
139,7.432766929181734,0.144902898640116,1.4138544343811117
140,4.941349544116976e-05,4.3776490057120836e-08,0.0
141,9.189641502573385e-05,5.42549085523885e-08,0.0
142,5.5352385077383224e-05,4.6391009290940354e-08,0.0
143,7.341294073952025e-05,4.537509427279067e-08,0.0
144,2.6323998326219268e-05,5.003472571313916e-08,0.0
145,8.456230220735288,0.679395107974052,1.5723357296891431
146,3.882873216525899e-06,5.103854996705798e-08,0.0
147,0.00012068281243518336,5.325381292648389e-08,0.0
148,3.113085882131067e-05,5.143033473665246e-08,0.0
149,0.0001566510025151792,4.820355369882453e-08,0.0
150,1.2154180372639238e-05,4.5803815641614244e-08,0.0
151,7.588460023997722,1.3092727696790694,1.403489761724797
152,0.00014830637434279443,4.794660623218525e-08,0.0
153,4.476368795154267e-05,4.992074825333611e-08,0.0
154,0.00012820553339748677,5.246728639050002e-08,0.0
155,1.1072022029941526e-05,5.084171106815169e-08,0.0
156,6.985199670925547e-05,4.679839061566547e-08,0.0
157,7.716945680370811e-06,5.1687946580162984e-08,0.0
158,1.257664319355931e-05,5.582415126239799e-08,0.0
159,0.00012283019778715998,5.6759241709463983e-08,0.0
160,0.00035806928118305804,5.1339169714044445e-08,0.0
161,2.0284727929788096e-05,4.7799360916414725e-08,0.0
162,3.256688078415898e-05,5.349833339731481e-08,0.0
163,0.0007033783313379248,5.086111047636874e-08,0.0
164,0.00014368772301823768,4.973542986130259e-08,0.0
165,1.8127976968042033e-05,4.85247289582368e-08,0.0
166,2.0142883996469092e-05,5.194960923250378e-08,0.0
167,12.250825290149855,1.254478083226668,1.412580141682477
168,2.1052382035955345e-05,5.099241031905974e-08,0.0
169,2.2768632463736303e-05,4.8957192121997495e-08,0.0
170,4.3876271273269586e-05,5.191779574261668e-08,0.0
171,7.726118682360953,1.1093685256118069,1.4543115296138434
172,5.721657659815446,0.7510772897012788,1.3491344104643304
174,8.73038872872698e-06,4.928173651797458e-08,0.0
175,7.293977750841414e-05,5.0345658274930453e-08,0.0
176,8.966486497687171,0.42027389028456974,1.1689206816585758
177,6.233986622545424e-05,5.099343752309746e-08,0.0
178,6.116488532312563,0.9147289977186421,1.1367358652374322
